file;N_bad_channels;HighAmp;LowAmp;Bridged;Noise_Rate;FINAL;exclude_idx;exclude_labels;Clusters
sub-NDARPC817XZ5_task-RestingState_eeg.set;5;['E67'];['E7' 'E55' 'E78' 'E79'];[];['E1', 'E3', 'E4', 'E5', 'E6', 'E7', 'E8', 'E11', 'E12', 'E13', 'E19', 'E20', 'E22', 'E23', 'E24', 'E25', 'E26', 'E27', 'E28', 'E29', 'E30', 'E31', 'E32', 'E33', 'E34', 'E35', 'E36', 'E37', 'E38', 'E39', 'E40', 'E41', 'E42', 'E43', 'E44', 'E45', 'E46', 'E47', 'E49', 'E50', 'E51', 'E52', 'E53', 'E54', 'E55', 'E56', 'E57', 'E58', 'E59', 'E60', 'E61', 'E62', 'E63', 'E64', 'E65', 'E66', 'E67', 'E68', 'E69', 'E70', 'E71', 'E72', 'E73', 'E74', 'E75', 'E76', 'E77', 'E78', 'E79', 'E80', 'E81', 'E82', 'E83', 'E84', 'E85', 'E86', 'E87', 'E88', 'E89', 'E90', 'E91', 'E92', 'E93', 'E94', 'E95', 'E96', 'E97', 'E99', 'E100', 'E101', 'E102', 'E103', 'E104', 'E105', 'E106', 'E107', 'E108', 'E109', 'E110', 'E111', 'E112', 'E113', 'E114', 'E115', 'E116', 'E117', 'E118', 'E120', 'E121', 'E122', 'E123', 'E124', 'E125', 'E128'];['E96', 'E83', 'E81', 'E110', 'E78', 'E99', 'E26', 'E71', 'E102', 'E27', 'E91', 'E75', 'E29', 'E114', 'E103', 'E49', 'E36', 'E115', 'E94', 'E111', 'E63', 'E24', 'E52', 'E41', 'E109', 'E22', 'E23', 'E97', 'E80', 'E88', 'E106', 'E116', 'E73', 'E20', 'E42', 'E56', 'E32', 'E44', 'E76', 'E55', 'E19', 'E8', 'E79', 'E113', 'E128', 'E57', 'E65', 'E67', 'E5', 'E61', 'E68', 'E11', 'E6', 'E50', 'E47', 'E77', 'E123', 'E34', 'E59', 'E125', 'E54', 'E53', 'E101', 'E7', 'E74', 'E31', 'E92', 'E93', 'E45', 'E100', 'E120', 'E112', 'E85', 'E51', 'E104', 'E25', 'E39', 'E118', 'E122', 'E43', 'E37', 'E3', 'E66', 'E12', 'E70', 'E117', 'E13', 'E124', 'E108', 'E58', 'E105', 'E38', 'E84', 'E30', 'E62', 'E60', 'E90', 'E1', 'E4', 'E35', 'E89', 'E82', 'E69', 'E40', 'E121', 'E86', 'E72', 'E33', 'E46', 'E28', 'E95', 'E64', 'E87', 'E107'];[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11];['channel noise', 'other', 'channel noise', 'line noise', 'channel noise', 'channel noise', 'eye blink', 'muscle artifact', 'line noise', 'channel noise', 'channel noise'];[]
sub-NDAREN519BLJ_task-FunwithFractals_eeg.set;5;['E21' 'E40' 'E45' 'E69'];['E82'];[];['E2', 'E5', 'E6', 'E7', 'E8', 'E11', 'E12', 'E13', 'E14', 'E16', 'E19', 'E21', 'E22', 'E25', 'E26', 'E28', 'E29', 'E30', 'E31', 'E32', 'E33', 'E34', 'E35', 'E36', 'E37', 'E38', 'E39', 'E40', 'E41', 'E42', 'E43', 'E44', 'E45', 'E46', 'E47', 'E49', 'E50', 'E51', 'E52', 'E53', 'E54', 'E55', 'E56', 'E57', 'E58', 'E59', 'E60', 'E61', 'E62', 'E63', 'E64', 'E65', 'E66', 'E68', 'E69', 'E70', 'E71', 'E72', 'E73', 'E74', 'E75', 'E76', 'E77', 'E78', 'E81', 'E82', 'E83', 'E95', 'E96', 'E100', 'E104', 'E106', 'E107', 'E112', 'E114', 'E117', 'E121', 'E128'];['E49', 'E68', 'E74', 'E36', 'E61', 'E96', 'E75', 'E37', 'E106', 'E71', 'E65', 'E58', 'E77', 'E35', 'E56', 'E76', 'E104', 'E14', 'E57', 'E31', 'E121', 'E69', 'E73', 'E6', 'E41', 'E21', 'E59', 'E7', 'E114', 'E28', 'E64', 'E25', 'E13', 'E19', 'E22', 'E38', 'E11', 'E43', 'E72', 'E12', 'E52', 'E2', 'E55', 'E117', 'E42', 'E34', 'E44', 'E50', 'E128', 'E51', 'E39', 'E26', 'E45', 'E100', 'E46', 'E29', 'E60', 'E112', 'E81', 'E62', 'E95', 'E82', 'E32', 'E53', 'E107', 'E5', 'E30', 'E47', 'E54', 'E63', 'E83', 'E33', 'E8', 'E66', 'E40', 'E70', 'E78', 'E16'];[0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40];['line noise', 'channel noise', 'line noise', 'channel noise', 'other', 'line noise', 'other', 'line noise', 'other', 'other', 'channel noise', 'other', 'line noise', 'eye blink', 'channel noise', 'other', 'channel noise', 'line noise', 'channel noise', 'channel noise', 'line noise', 'other', 'eye blink', 'channel noise', 'other', 'channel noise', 'line noise', 'line noise', 'eye blink', 'other', 'channel noise', 'other', 'eye blink', 'other', 'channel noise'];[]
sub-NDARCW071AU5_task-surroundSupp_run-1_eeg.set;7;['E30' 'E36' 'E43' 'E63' 'E97' 'E113'];['E67'];[];['E1', 'E5', 'E6', 'E7', 'E9', 'E11', 'E12', 'E13', 'E19', 'E20', 'E22', 'E23', 'E24', 'E25', 'E27', 'E28', 'E29', 'E30', 'E31', 'E32', 'E33', 'E34', 'E35', 'E36', 'E37', 'E38', 'E39', 'E40', 'E41', 'E42', 'E43', 'E44', 'E45', 'E46', 'E47', 'E49', 'E50', 'E51', 'E52', 'E53', 'E54', 'E55', 'E56', 'E57', 'E58', 'E59', 'E60', 'E61', 'E62', 'E63', 'E64', 'E65', 'E66', 'E67', 'E68', 'E69', 'E70', 'E71', 'E72', 'E73', 'E74', 'E75', 'E76', 'E77', 'E78', 'E79', 'E80', 'E82', 'E83', 'E84', 'E85', 'E86', 'E87', 'E88', 'E89', 'E90', 'E91', 'E92', 'E93', 'E94', 'E95', 'E96', 'E97', 'E98', 'E99', 'E100', 'E101', 'E102', 'E103', 'E104', 'E105', 'E106', 'E107', 'E108', 'E109', 'E110', 'E111', 'E112', 'E113', 'E114', 'E115', 'E116', 'E117', 'E118', 'E120', 'E121', 'E122', 'E125', 'E128'];['E46', 'E63', 'E47', 'E31', 'E23', 'E128', 'E19', 'E112', 'E29', 'E97', 'E28', 'E1', 'E79', 'E55', 'E39', 'E51', 'E61', 'E24', 'E122', 'E117', 'E67', 'E32', 'E34', 'E118', 'E105', 'E76', 'E66', 'E35', 'E110', 'E36', 'E6', 'E82', 'E83', 'E37', 'E125', 'E95', 'E74', 'E60', 'E90', 'E113', 'E40', 'E114', 'E104', 'E64', 'E116', 'E52', 'E101', 'E96', 'E77', 'E53', 'E45', 'E44', 'E103', 'E33', 'E99', 'E121', 'E11', 'E42', 'E71', 'E109', 'E94', 'E30', 'E59', 'E72', 'E93', 'E91', 'E86', 'E38', 'E68', 'E69', 'E70', 'E107', 'E75', 'E41', 'E80', 'E43', 'E65', 'E120', 'E57', 'E62', 'E115', 'E73', 'E84', 'E5', 'E111', 'E98', 'E7', 'E13', 'E58', 'E9', 'E27', 'E92', 'E12', 'E25', 'E54', 'E22', 'E88', 'E102', 'E56', 'E108', 'E89', 'E49', 'E106', 'E50', 'E78', 'E85', 'E20', 'E87', 'E100'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53];['line noise', 'line noise', 'other', 'channel noise', 'line noise', 'channel noise', 'line noise', 'line noise', 'channel noise', 'line noise', 'line noise', 'line noise', 'line noise', 'line noise', 'channel noise', 'line noise', 'line noise', 'line noise', 'channel noise', 'channel noise', 'line noise', 'other', 'channel noise', 'line noise', 'eye blink', 'line noise', 'channel noise', 'line noise', 'line noise', 'eye blink', 'line noise', 'line noise', 'channel noise', 'line noise', 'line noise', 'channel noise', 'line noise', 'channel noise', 'line noise', 'channel noise', 'channel noise', 'other', 'channel noise', 'line noise', 'other', 'eye blink', 'other', 'line noise', 'line noise', 'channel noise', 'line noise', 'channel noise', 'channel noise', 'channel noise'];[]
sub-NDARGB441VVD_task-seqLearning8target_eeg.set;20;['E36' 'E46' 'E59' 'E73'];"['E42' 'E54' 'E60' 'E61' 'E72' 'E81' 'E89' 'E94' 'E100' 'E111' 'E115'
 'E123']";['E89', 'E63', 'E77', 'E111', 'E123', 'E42', 'E115', 'E57', 'E94', 'E72', 'E100', 'E60', 'E81', 'E76'];['E8', 'E29', 'E30', 'E31', 'E32', 'E33', 'E34', 'E35', 'E36', 'E37', 'E38', 'E39', 'E40', 'E41', 'E43', 'E44', 'E45', 'E46', 'E47', 'E49', 'E50', 'E51', 'E52', 'E53', 'E54', 'E55', 'E56', 'E58', 'E59', 'E61', 'E62', 'E64', 'E65', 'E66', 'E67', 'E68', 'E69', 'E70', 'E71', 'E73', 'E74', 'E75', 'E78', 'E79', 'E82', 'E83', 'E85', 'E87', 'E88', 'E90', 'E91', 'E92', 'E95', 'E96', 'E97', 'E99', 'E101', 'E102', 'E107', 'E109', 'E113', 'E114', 'E125', 'E128'];['E102', 'E65', 'E113', 'E46', 'E71', 'E35', 'E40', 'E49', 'E62', 'E33', 'E89', 'E73', 'E38', 'E44', 'E90', 'E55', 'E64', 'E29', 'E99', 'E58', 'E30', 'E78', 'E51', 'E61', 'E94', 'E72', 'E85', 'E63', 'E123', 'E107', 'E91', 'E69', 'E76', 'E66', 'E53', 'E37', 'E111', 'E109', 'E79', 'E42', 'E43', 'E59', 'E54', 'E96', 'E125', 'E36', 'E77', 'E56', 'E83', 'E45', 'E34', 'E92', 'E87', 'E31', 'E115', 'E57', 'E74', 'E97', 'E81', 'E47', 'E114', 'E101', 'E32', 'E75', 'E50', 'E82', 'E128', 'E100', 'E41', 'E70', 'E8', 'E52', 'E67', 'E39', 'E68', 'E60', 'E88', 'E95'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43];['line noise', 'other', 'other', 'other', 'line noise', 'other', 'other', 'other', 'line noise', 'other', 'line noise', 'channel noise', 'other', 'other', 'other', 'eye blink', 'other', 'channel noise', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'channel noise', 'other', 'other', 'other', 'other', 'other'];[['E42', 'E60', 'E72', 'E81', 'E89', 'E94', 'E100', 'E111', 'E115', 'E123'], ['E57', 'E63'], ['E76', 'E77']]
sub-NDARAC904DMU_task-DespicableMe_eeg.set;0;[];[];[];['E5', 'E6', 'E14', 'E21', 'E25', 'E26', 'E32', 'E33', 'E34', 'E37', 'E42', 'E49', 'E53', 'E54', 'E55', 'E61', 'E67', 'E75', 'E76', 'E81', 'E83', 'E84', 'E85', 'E86', 'E87', 'E92', 'E101', 'E103', 'E104', 'E105', 'E106', 'E112', 'E113', 'E114', 'E120', 'E122', 'E128'];['E81', 'E103', 'E87', 'E53', 'E106', 'E92', 'E113', 'E61', 'E21', 'E104', 'E114', 'E42', 'E49', 'E105', 'E75', 'E76', 'E6', 'E5', 'E25', 'E54', 'E26', 'E55', 'E86', 'E128', 'E85', 'E14', 'E32', 'E122', 'E84', 'E67', 'E83', 'E112', 'E120', 'E37', 'E33', 'E101', 'E34'];[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 14, 17, 19, 22, 23, 24, 25, 26, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 43, 44, 45, 48, 50, 51, 52, 53, 54, 55, 57, 59, 61, 64, 65, 66, 67, 69, 70, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81];['line noise', 'line noise', 'line noise', 'line noise', 'eye blink', 'eye blink', 'eye blink', 'line noise', 'line noise', 'channel noise', 'other', 'other', 'line noise', 'line noise', 'line noise', 'other', 'other', 'eye blink', 'line noise', 'channel noise', 'other', 'line noise', 'channel noise', 'line noise', 'channel noise', 'channel noise', 'line noise', 'other', 'muscle artifact', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'channel noise', 'muscle artifact', 'other', 'line noise', 'channel noise', 'other', 'other', 'other', 'other', 'line noise', 'eye blink', 'other', 'other', 'channel noise', 'other', 'channel noise', 'other', 'line noise', 'line noise', 'other', 'other', 'line noise'];[]
sub-NDARBM173BJG_task-FunwithFractals_eeg.set;4;[];['E25' 'E49' 'E67' 'E80'];['E67', 'E25', 'E49'];['E2', 'E8', 'E9', 'E15', 'E21', 'E31', 'E32', 'E33', 'E36', 'E37', 'E38', 'E39', 'E43', 'E44', 'E46', 'E50', 'E54', 'E55', 'E56', 'E58', 'E65', 'E69', 'E70', 'E73', 'E74', 'E75', 'E79', 'E80', 'E81', 'E82', 'E83', 'E87', 'E88', 'E89', 'E90', 'E99', 'E107', 'E109', 'E113', 'E114', 'E115', 'E116', 'E120', 'E121', 'E122', 'E125', 'E128'];['E9', 'E49', 'E83', 'E65', 'E79', 'E25', 'E87', 'E109', 'E55', 'E74', 'E36', 'E88', 'E89', 'E121', 'E115', 'E8', 'E31', 'E81', 'E107', 'E114', 'E125', 'E37', 'E54', 'E128', 'E39', 'E44', 'E80', 'E116', 'E122', 'E70', 'E46', 'E33', 'E43', 'E2', 'E58', 'E113', 'E15', 'E75', 'E56', 'E69', 'E21', 'E38', 'E67', 'E73', 'E120', 'E50', 'E82', 'E90', 'E99', 'E32'];[0, 1, 2, 4, 5, 6, 7, 8, 12, 14, 15, 16, 19, 20, 21, 22, 23, 24, 26, 27, 30, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 55, 56, 58, 59, 60, 61, 62, 64, 65, 66, 67, 69, 70, 71, 72];['channel noise', 'channel noise', 'line noise', 'line noise', 'eye blink', 'line noise', 'other', 'other', 'line noise', 'line noise', 'other', 'other', 'muscle artifact', 'other', 'eye blink', 'other', 'other', 'line noise', 'muscle artifact', 'eye blink', 'channel noise', 'eye blink', 'other', 'other', 'other', 'other', 'other', 'other', 'other', 'channel noise', 'line noise', 'channel noise', 'other', 'line noise', 'muscle artifact', 'channel noise', 'other', 'other', 'muscle artifact', 'channel noise', 'channel noise', 'other', 'line noise', 'other', 'other', 'other', 'other', 'other', 'other', 'line noise', 'other', 'other', 'other', 'channel noise', 'other', 'other'];[['E25', 'E49', 'E67']]
sub-NDARHY177LY9_task-surroundSupp_run-1_eeg.set;1;[];['E67'];[];['E1', 'E8', 'E9', 'E18', 'E25', 'E31', 'E32', 'E33', 'E34', 'E54', 'E55', 'E61', 'E67', 'E79', 'E93', 'E98', 'E102', 'E103', 'E104', 'E106', 'E107', 'E109', 'E110', 'E113', 'E114', 'E116', 'E122', 'E128'];['E106', 'E93', 'E113', 'E114', 'E34', 'E61', 'E122', 'E110', 'E9', 'E107', 'E8', 'E25', 'E102', 'E31', 'E1', 'E32', 'E67', 'E55', 'E109', 'E116', 'E54', 'E79', 'E98', 'E33', 'E103', 'E18', 'E128', 'E104'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 51, 52, 53, 54];['other', 'line noise', 'line noise', 'line noise', 'line noise', 'line noise', 'line noise', 'line noise', 'channel noise', 'line noise', 'channel noise', 'other', 'other', 'eye blink', 'channel noise', 'channel noise', 'channel noise', 'other', 'channel noise', 'channel noise', 'line noise', 'channel noise', 'channel noise', 'channel noise', 'line noise', 'muscle artifact', 'channel noise', 'muscle artifact', 'channel noise', 'channel noise', 'channel noise', 'muscle artifact', 'channel noise', 'line noise', 'other', 'channel noise', 'eye blink', 'line noise', 'other', 'channel noise', 'other', 'channel noise', 'channel noise', 'other', 'channel noise', 'channel noise', 'other', 'eye blink', 'channel noise', 'line noise', 'muscle artifact', 'channel noise', 'channel noise'];[]
sub-NDARAC904DMU_task-DiaryOfAWimpyKid_eeg.set;0;[];[];[];['E7', 'E8', 'E14', 'E15', 'E22', 'E25', 'E27', 'E31', 'E32', 'E33', 'E34', 'E38', 'E39', 'E43', 'E44', 'E45', 'E49', 'E53', 'E54', 'E55', 'E56', 'E57', 'E63', 'E67', 'E68', 'E79', 'E80', 'E87', 'E105', 'E106', 'E107', 'E112', 'E113', 'E114', 'E120', 'E121', 'E122', 'E125', 'E128'];['E7', 'E87', 'E53', 'E39', 'E8', 'E106', 'E113', 'E44', 'E107', 'E114', 'E49', 'E45', 'E22', 'E105', 'E25', 'E55', 'E54', 'E68', 'E128', 'E43', 'E63', 'E125', 'E14', 'E79', 'E15', 'E32', 'E27', 'E122', 'E56', 'E67', 'E112', 'E120', 'E121', 'E31', 'E38', 'E80', 'E33', 'E57', 'E34'];[0, 1, 2, 3, 4, 5, 6, 8, 9, 15, 19, 22, 23, 24, 25, 27, 28, 30, 32, 33, 34, 36, 38, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60];['channel noise', 'line noise', 'channel noise', 'channel noise', 'channel noise', 'line noise', 'line noise', 'line noise', 'eye blink', 'channel noise', 'channel noise', 'other', 'other', 'line noise', 'channel noise', 'other', 'eye blink', 'other', 'other', 'line noise', 'other', 'other', 'other', 'eye blink', 'other', 'other', 'other', 'line noise', 'channel noise', 'line noise', 'other', 'other', 'line noise', 'other', 'line noise', 'line noise', 'channel noise', 'other', 'channel noise', 'other', 'other', 'other'];[]
sub-NDAREN519BLJ_task-RestingState_eeg.set;4;['E45'];['E36' 'E69' 'E82'];['E36', 'E69', 'E82'];['E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E8', 'E9', 'E11', 'E12', 'E13', 'E14', 'E15', 'E16', 'E18', 'E19', 'E20', 'E21', 'E22', 'E24', 'E25', 'E26', 'E27', 'E28', 'E29', 'E30', 'E31', 'E32', 'E33', 'E34', 'E35', 'E37', 'E38', 'E39', 'E40', 'E41', 'E42', 'E43', 'E44', 'E45', 'E46', 'E47', 'E49', 'E50', 'E51', 'E52', 'E53', 'E54', 'E55', 'E56', 'E57', 'E58', 'E59', 'E60', 'E61', 'E63', 'E65', 'E66', 'E68', 'E73', 'E80', 'E81', 'E83', 'E87', 'E88', 'E89', 'E90', 'E91', 'E94', 'E95', 'E96', 'E99', 'E100', 'E101', 'E107', 'E109', 'E110', 'E111', 'E112', 'E113', 'E114', 'E116', 'E117', 'E121', 'E122', 'E123', 'E124', 'E125', 'E128'];['E49', 'E68', 'E111', 'E36', 'E61', 'E94', 'E96', 'E18', 'E37', 'E123', 'E65', 'E58', 'E35', 'E56', 'E80', 'E14', 'E57', 'E31', 'E121', 'E69', 'E73', 'E6', 'E41', 'E21', 'E59', 'E90', 'E116', 'E7', 'E114', 'E28', 'E25', 'E13', 'E19', 'E22', 'E38', 'E11', 'E43', 'E87', 'E4', 'E12', 'E52', 'E2', 'E55', 'E109', 'E42', 'E117', 'E34', 'E44', 'E50', 'E88', 'E24', 'E128', 'E51', 'E39', 'E45', 'E26', 'E100', 'E46', 'E110', 'E29', 'E60', 'E112', 'E20', 'E81', 'E3', 'E95', 'E91', 'E125', 'E82', 'E32', 'E53', 'E101', 'E107', 'E5', 'E9', 'E89', 'E122', 'E30', 'E15', 'E47', 'E54', 'E63', 'E83', 'E33', 'E27', 'E8', 'E124', 'E66', 'E99', 'E113', 'E40', 'E16'];[0, 1, 2, 5, 6, 7, 10, 11, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29];['line noise', 'line noise', 'channel noise', 'channel noise', 'channel noise', 'line noise', 'channel noise', 'other', 'eye blink', 'other', 'line noise', 'other', 'channel noise', 'other', 'eye blink', 'other', 'other', 'channel noise', 'other', 'other', 'eye blink', 'eye blink', 'other'];[['E36', 'E69', 'E82']]
sub-NDARLH979WFX_task-ThePresent_eeg.set;0;[];[];[];['E1', 'E2', 'E3', 'E4', 'E8', 'E25', 'E62', 'E78', 'E79', 'E80', 'E86', 'E90', 'E91', 'E94', 'E95', 'E96', 'E99', 'E106', 'E107', 'E109', 'E110', 'E113', 'E114', 'E115', 'E120', 'E122', 'E125'];['E4', 'E1', 'E2', 'E120', 'E80', 'E125', 'E86', 'E99', 'E79', 'E94', 'E106', 'E110', 'E25', 'E96', 'E95', 'E90', 'E109', 'E114', 'E113', 'E3', 'E122', 'E8', 'E62', 'E91', 'E78', 'E107', 'E115'];[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 15, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 37, 40, 42, 46, 49, 50, 53, 54, 55, 56, 63, 64, 65, 66, 67, 70, 72, 76, 77, 78, 79, 80, 81, 82, 83, 85, 86, 87, 88, 90, 91, 92];['channel noise', 'channel noise', 'channel noise', 'channel noise', 'channel noise', 'eye blink', 'line noise', 'eye blink', 'line noise', 'eye blink', 'other', 'line noise', 'line noise', 'line noise', 'other', 'line noise', 'channel noise', 'line noise', 'line noise', 'line noise', 'other', 'line noise', 'line noise', 'other', 'eye blink', 'other', 'other', 'line noise', 'line noise', 'line noise', 'line noise', 'other', 'channel noise', 'line noise', 'eye blink', 'channel noise', 'other', 'other', 'other', 'line noise', 'line noise', 'other', 'other', 'channel noise', 'line noise', 'other', 'line noise', 'other', 'channel noise', 'other', 'other', 'other', 'eye blink', 'other', 'other', 'other', 'other', 'other', 'line noise', 'line noise'];[]
